"index","Date","Open","High","Low","Close"
"1",2001-01-02,1283.27,1320.28,1276.05,1283.27
"2",2001-01-03,1347.56,1347.76,1274.62,1347.56
"3",2001-01-04,1333.34,1350.24,1329.14,1333.34
"4",2001-01-05,1298.35,1334.77,1294.95,1298.35
"5",2001-01-08,1295.86,1298.35,1276.29,1295.86
"6",2001-01-09,1300.8,1311.72,1295.14,1300.8
"7",2001-01-10,1313.27,1313.76,1287.28,1313.27
"8",2001-01-11,1326.82,1332.19,1309.72,1326.82
"9",2001-01-12,1318.32,1333.21,1311.59,1318.32
"10",2001-01-16,1326.65,1327.81,1313.33,1326.65
"11",2001-01-17,1329.47,1346.92,1325.41,1329.47
"12",2001-01-18,1347.97,1352.71,1327.41,1347.97
"13",2001-01-19,1342.54,1354.55,1336.74,1342.54
"14",2001-01-22,1342.9,1353.62,1333.84,1342.9
"15",2001-01-23,1360.4,1362.9,1339.63,1360.4
"16",2001-01-24,1364.3,1369.75,1357.28,1364.3
"17",2001-01-25,1357.51,1367.35,1354.63,1357.51
"18",2001-01-26,1354.95,1357.51,1342.75,1354.95
"19",2001-01-29,1364.17,1365.54,1350.36,1364.17
"20",2001-01-30,1373.73,1375.68,1356.2,1373.73
"21",2001-01-31,1366.01,1383.37,1364.66,1366.01
"22",2001-02-01,1373.47,1373.5,1359.34,1373.47
"23",2001-02-02,1349.47,1376.38,1348.72,1349.47
"24",2001-02-05,1354.31,1354.56,1344.48,1354.31
"25",2001-02-06,1352.26,1363.55,1350.04,1352.26
"26",2001-02-07,1340.89,1352.26,1334.26,1340.89
"27",2001-02-08,1332.53,1350.32,1332.42,1332.53
"28",2001-02-09,1314.76,1332.53,1309.98,1314.76
"29",2001-02-12,1330.31,1330.96,1313.64,1330.31
"30",2001-02-13,1318.8,1336.62,1317.51,1318.8
"31",2001-02-14,1315.92,1320.73,1304.72,1315.92
"32",2001-02-15,1326.61,1331.29,1315.92,1326.61
"33",2001-02-16,1301.53,1326.61,1293.18,1301.53
"34",2001-02-20,1278.94,1307.16,1278.44,1278.94
"35",2001-02-21,1255.27,1282.97,1253.16,1255.27
"36",2001-02-22,1252.82,1259.94,1228.33,1252.82
"37",2001-02-23,1245.86,1252.82,1215.44,1245.86
"38",2001-02-26,1267.65,1267.69,1241.71,1267.65
"39",2001-02-27,1257.94,1272.76,1252.26,1257.94
"40",2001-02-28,1239.94,1263.47,1229.65,1239.94
"41",2001-03-01,1241.23,1241.36,1214.5,1241.23
"42",2001-03-02,1234.18,1251.01,1219.74,1234.18
"43",2001-03-05,1241.41,1242.55,1234.04,1241.41
"44",2001-03-06,1253.8,1267.42,1241.41,1253.8
"45",2001-03-07,1261.89,1263.86,1253.8,1261.89
"46",2001-03-08,1264.74,1266.5,1257.6,1264.74
"47",2001-03-09,1233.42,1264.74,1228.42,1233.42
"48",2001-03-12,1180.16,1233.42,1176.78,1180.16
"49",2001-03-13,1197.66,1197.83,1171.5,1197.66
"50",2001-03-14,1166.71,1197.66,1155.35,1166.71
"51",2001-03-15,1173.56,1182.04,1166.71,1173.56
"52",2001-03-16,1150.53,1173.56,1148.64,1150.53
"53",2001-03-19,1170.81,1173.5,1147.18,1170.81
"54",2001-03-20,1142.62,1180.56,1142.19,1142.62
"55",2001-03-21,1122.14,1149.39,1118.74,1122.14
"56",2001-03-22,1117.58,1124.27,1081.19,1117.58
"57",2001-03-23,1139.83,1141.83,1117.58,1139.83
"58",2001-03-26,1152.69,1160.02,1139.83,1152.69
"59",2001-03-27,1182.17,1183.36,1150.96,1182.17
"60",2001-03-28,1153.29,1182.17,1147.83,1153.29
"61",2001-03-29,1147.95,1161.69,1136.26,1147.95
"62",2001-03-30,1160.33,1162.8,1143.83,1160.33
"63",2001-04-02,1145.87,1169.51,1137.51,1145.87
"64",2001-04-03,1106.46,1145.87,1100.19,1106.46
"65",2001-04-04,1103.25,1117.5,1091.99,1103.25
"66",2001-04-05,1151.44,1151.47,1103.25,1151.44
"67",2001-04-06,1128.43,1151.44,1119.29,1128.43
"68",2001-04-09,1137.59,1146.13,1126.38,1137.59
"69",2001-04-10,1168.38,1173.92,1137.59,1168.38
"70",2001-04-11,1165.89,1182.24,1160.26,1165.89
"71",2001-04-12,1183.5,1183.51,1157.73,1183.5
"72",2001-04-16,1179.68,1184.64,1167.38,1179.68
"73",2001-04-17,1191.81,1192.25,1168.9,1191.81
"74",2001-04-18,1238.16,1248.42,1191.81,1238.16
"75",2001-04-19,1253.7,1253.71,1233.39,1253.7
"76",2001-04-20,1242.98,1253.7,1234.41,1242.98
"77",2001-04-23,1224.36,1242.98,1217.47,1224.36
"78",2001-04-24,1209.47,1233.54,1208.89,1209.47
"79",2001-04-25,1228.75,1232.36,1207.38,1228.75
"80",2001-04-26,1234.52,1248.3,1228.75,1234.52
"81",2001-04-27,1253.05,1253.07,1234.52,1253.05
"82",2001-04-30,1249.46,1269.3,1243.99,1249.46
"83",2001-05-01,1266.44,1266.47,1243.55,1266.44
"84",2001-05-02,1267.43,1272.93,1257.7,1267.43
"85",2001-05-03,1248.58,1267.43,1239.88,1248.58
"86",2001-05-04,1266.61,1267.51,1232,1266.61
"87",2001-05-07,1263.51,1270,1259.19,1263.51
"88",2001-05-08,1261.2,1267.01,1253,1261.2
"89",2001-05-09,1255.54,1261.65,1247.83,1255.54
"90",2001-05-10,1255.18,1268.14,1254.56,1255.18
"91",2001-05-11,1245.67,1259.84,1240.79,1245.67
"92",2001-05-14,1248.92,1249.68,1241.02,1248.92
"93",2001-05-15,1249.44,1254.45,1245.36,1249.44
"94",2001-05-16,1284.99,1286.39,1243.02,1284.99
"95",2001-05-17,1288.49,1296.48,1282.65,1288.49
"96",2001-05-18,1291.96,1292.06,1281.15,1291.96
"97",2001-05-21,1312.83,1312.95,1287.87,1312.83
"98",2001-05-22,1309.38,1315.93,1306.89,1309.38
"99",2001-05-23,1289.05,1309.38,1288.7,1289.05
"100",2001-05-24,1293.17,1295.04,1281.22,1293.17
"101",2001-05-25,1277.89,1293.17,1276.42,1277.89
"102",2001-05-29,1267.93,1278.42,1265.41,1267.93
"103",2001-05-30,1248.08,1267.93,1245.96,1248.08
"104",2001-05-31,1255.82,1261.91,1248.07,1255.82
"105",2001-06-01,1260.67,1265.34,1246.88,1260.67
"106",2001-06-04,1267.11,1267.17,1256.36,1267.11
"107",2001-06-05,1283.57,1286.62,1267.11,1283.57
"108",2001-06-06,1270.03,1283.85,1269.03,1270.03
"109",2001-06-07,1276.96,1277.08,1265.08,1276.96
"110",2001-06-08,1264.96,1277.11,1259.99,1264.96
"111",2001-06-11,1254.39,1264.96,1249.23,1254.39
"112",2001-06-12,1255.85,1261,1235.75,1255.85
"113",2001-06-13,1241.6,1259.75,1241.59,1241.6
"114",2001-06-14,1219.87,1241.6,1218.9,1219.87
"115",2001-06-15,1214.36,1221.5,1203.03,1214.36
"116",2001-06-18,1208.43,1221.23,1208.33,1208.43
"117",2001-06-19,1212.58,1226.11,1207.71,1212.58
"118",2001-06-20,1223.14,1225.61,1210.07,1223.14
"119",2001-06-21,1237.04,1240.24,1220.25,1237.04
"120",2001-06-22,1225.35,1237.73,1221.44,1225.35
"121",2001-06-25,1218.6,1231.5,1213.6,1218.6
"122",2001-06-26,1216.76,1220.7,1204.64,1216.76
"123",2001-06-27,1211.07,1219.92,1207.29,1211.07
"124",2001-06-28,1226.2,1234.44,1211.07,1226.2
"125",2001-06-29,1224.42,1237.29,1221.14,1224.42
"126",2001-07-02,1236.71,1239.78,1224.03,1236.71
"127",2001-07-03,1234.45,1236.71,1229.43,1234.45
"128",2001-07-05,1219.24,1234.45,1219.15,1219.24
"129",2001-07-06,1190.59,1219.24,1188.74,1190.59
"130",2001-07-09,1198.78,1201.76,1189.75,1198.78
"131",2001-07-10,1181.52,1203.43,1179.93,1181.52
"132",2001-07-11,1180.18,1184.93,1168.46,1180.18
"133",2001-07-12,1208.14,1210.25,1180.18,1208.14
"134",2001-07-13,1215.68,1218.54,1203.61,1215.68
"135",2001-07-16,1202.45,1219.63,1200.05,1202.45
"136",2001-07-17,1214.44,1215.36,1196.14,1214.44
"137",2001-07-18,1207.71,1214.44,1198.33,1207.71
"138",2001-07-19,1215.02,1225.04,1205.8,1215.02
"139",2001-07-20,1210.85,1215.69,1207.04,1210.85
"140",2001-07-23,1191.03,1215.22,1190.5,1191.03
"141",2001-07-24,1171.65,1191.03,1165.54,1171.65
"142",2001-07-25,1190.49,1190.52,1171.28,1190.49
"143",2001-07-26,1202.93,1204.18,1182.65,1202.93
"144",2001-07-27,1205.82,1209.26,1195.99,1205.82
"145",2001-07-30,1204.52,1209.05,1200.41,1204.52
"146",2001-07-31,1211.23,1222.74,1204.52,1211.23
"147",2001-08-01,1215.93,1223.04,1211.23,1215.93
"148",2001-08-02,1220.75,1226.27,1215.31,1220.75
"149",2001-08-03,1214.35,1220.75,1205.31,1214.35
"150",2001-08-06,1200.48,1214.35,1197.35,1200.48
"151",2001-08-07,1204.4,1207.56,1195.64,1204.4
"152",2001-08-08,1183.53,1206.79,1181.27,1183.53
"153",2001-08-09,1183.43,1184.71,1174.68,1183.43
"154",2001-08-10,1190.16,1193.33,1169.55,1190.16
"155",2001-08-13,1191.29,1193.82,1185.12,1191.29
"156",2001-08-14,1186.73,1198.79,1184.26,1186.73
"157",2001-08-15,1178.02,1191.21,1177.61,1178.02
"158",2001-08-16,1181.66,1181.8,1166.08,1181.66
"159",2001-08-17,1161.97,1181.66,1156.07,1161.97
"160",2001-08-20,1171.41,1171.41,1160.94,1171.41
"161",2001-08-21,1157.26,1179.85,1156.56,1157.26
"162",2001-08-22,1165.31,1168.56,1153.34,1165.31
