Date, Open, High, Low, Close
04/14/21, 16.71, 17.69, 15.38, 16.99
04/13/21, 16.99, 17.86, 16.43, 16.65
04/12/21, 17.43, 17.91, 16.81, 16.91
04/09/21, 17.05, 17.34, 16.20, 16.69
04/08/21, 16.92, 17.36, 16.55, 16.95
04/07/21, 17.99, 18.17, 16.87, 17.16
04/06/21, 18.07, 18.30, 17.37, 18.12
04/05/21, 18.16, 18.40, 17.35, 17.91
04/01/21, 18.60, 18.64, 17.29, 17.33
03/31/21, 19.80, 20.11, 18.85, 19.40
03/30/21, 20.76, 21.75, 19.47, 19.61
03/29/21, 20.40, 21.60, 19.42, 20.74
03/26/21, 19.32, 21.49, 18.68, 18.86
03/25/21, 20.80, 23.55, 19.81, 19.81
03/24/21, 20.64, 21.49, 19.30, 21.20
03/23/21, 19.46, 21.58, 18.80, 20.30
03/22/21, 21.91, 22.29, 18.87, 18.88
03/19/21, 21.43, 23.17, 19.90, 20.95
03/18/21, 18.95, 22.60, 18.95, 21.58
03/17/21, 20.10, 20.95, 19.18, 19.23
03/16/21, 20.14, 20.31, 19.33, 19.79
03/15/21, 21.84, 21.86, 19.87, 20.03
03/12/21, 22.57, 22.99, 20.63, 20.69
03/11/21, 22.50, 22.50, 21.45, 21.91
03/10/21, 23.76, 23.87, 22.38, 22.56
03/09/21, 25.11, 25.25, 22.90, 24.03
03/08/21, 27.61, 28.39, 24.07, 25.47
03/05/21, 29.48, 30.03, 24.33, 24.66
03/04/21, 26.52, 31.90, 24.93, 28.57
03/03/21, 22.80, 26.79, 22.45, 26.67
03/02/21, 23.58, 24.60, 22.80, 24.10
03/01/21, 25.20, 25.39, 23.17, 23.35
02/26/21, 28.73, 30.82, 25.23, 27.95
02/25/21, 21.73, 31.16, 21.52, 28.89
02/24/21, 23.76, 25.04, 21.31, 21.34
02/23/21, 22.82, 27.01, 22.50, 23.11
02/22/21, 24.46, 25.09, 21.96, 23.45
02/19/21, 23.10, 23.19, 20.84, 22.05
02/18/21, 21.98, 24.23, 21.80, 22.49
02/17/21, 22.02, 23.44, 21.09, 21.50
02/16/21, 21.13, 22.46, 20.88, 21.46
02/12/21, 21.60, 22.45, 19.95, 19.97
02/11/21, 22.09, 23.25, 21.11, 21.25
02/10/21, 21.64, 23.85, 19.69, 21.99
02/09/21, 21.57, 22.26, 20.65, 21.63
02/08/21, 21.89, 22.07, 21.23, 21.24
02/05/21, 21.99, 22.16, 20.86, 20.87
02/04/21, 23.44, 23.44, 21.68, 21.77
02/03/21, 24.59, 25.43, 22.91, 22.91
02/02/21, 28.01, 28.08, 25.31, 25.56
02/01/21, 31.45, 33.96, 29.03, 30.24
01/29/21, 35.16, 37.51, 29.24, 33.09
01/28/21, 33.25, 36.29, 27.39, 30.21
01/27/21, 23.82, 37.21, 23.71, 37.21
01/26/21, 23.91, 23.94, 22.55, 23.02
01/25/21, 22.31, 26.63, 22.20, 23.19
01/22/21, 22.24, 23.73, 21.27, 21.91
01/21/21, 21.34, 22.22, 21.09, 21.32
01/20/21, 22.82, 22.86, 21.37, 21.58
01/19/21, 23.03, 23.56, 22.53, 23.24
01/18/21, 23.52, 25.80, 23.08, 24.34
01/15/21, 23.52, 25.80, 23.08, 24.34
01/14/21, 22.22, 23.47, 21.66, 23.25
01/13/21, 23.07, 24.18, 21.92, 22.21
01/12/21, 23.49, 25.15, 22.83, 23.33
01/11/21, 23.31, 24.81, 23.23, 24.08
01/08/21, 22.43, 23.34, 21.42, 21.56
01/07/21, 23.67, 23.91, 22.25, 22.37
01/06/21, 25.48, 26.77, 22.14, 25.07
01/05/21, 26.94, 28.60, 24.80, 25.34
01/04/21, 23.04, 29.19, 22.56, 26.97
12/31/20, 22.99, 23.25, 21.24, 22.75
12/30/20, 22.58, 23.15, 22.41, 22.77
12/29/20, 21.61, 23.72, 20.99, 23.08
12/28/20, 22.11, 22.12, 21.15, 21.70
12/24/20, 22.47, 22.83, 21.39, 21.53
12/23/20, 23.49, 23.68, 22.13, 23.31
12/22/20, 25.24, 25.56, 23.53, 24.23
12/21/20, 24.25, 31.46, 24.23, 25.16
12/18/20, 22.15, 23.77, 21.57, 21.57
12/17/20, 21.98, 22.27, 21.52, 21.93
12/16/20, 22.51, 23.67, 22.29, 22.50
12/15/20, 24.00, 24.07, 22.73, 22.89
12/14/20, 22.67, 24.82, 21.95, 24.72
12/11/20, 22.49, 25.14, 22.48, 23.31
12/10/20, 22.12, 23.46, 21.53, 22.52
12/09/20, 20.66, 22.93, 20.10, 22.27
12/08/20, 21.65, 22.25, 20.52, 20.68
12/07/20, 22.04, 22.62, 21.17, 21.30
12/04/20, 21.05, 21.15, 19.97, 20.79
12/03/20, 21.24, 21.88, 20.72, 21.28
12/02/20, 21.00, 21.25, 20.04, 21.17
12/01/20, 20.21, 20.92, 20.00, 20.77
11/30/20, 22.64, 22.89, 20.48, 20.57
11/27/20, 21.52, 21.60, 19.51, 20.84
11/26/20, 21.65, 22.50, 21.13, 21.25
11/25/20, 21.65, 22.50, 21.13, 21.25
11/24/20, 22.04, 22.48, 20.80, 21.64
11/23/20, 23.66, 23.96, 22.45, 22.66
11/20/20, 23.43, 23.73, 22.13, 23.70
11/19/20, 23.62, 24.52, 22.56, 23.11
11/18/20, 22.86, 23.92, 21.66, 23.84
11/17/20, 22.84, 24.09, 22.34, 22.71
11/16/20, 23.66, 24.08, 22.43, 22.45
11/13/20, 24.94, 25.03, 22.74, 23.10
11/12/20, 24.39, 27.27, 23.53, 25.35
11/11/20, 25.01, 25.12, 22.57, 23.45
11/10/20, 25.36, 26.77, 24.35, 24.80
11/09/20, 24.80, 25.82, 22.41, 25.75
11/06/20, 27.87, 29.44, 24.56, 24.86
11/05/20, 27.56, 28.14, 26.04, 27.58
11/04/20, 36.79, 36.85, 28.03, 29.57
11/03/20, 36.44, 36.44, 34.19, 35.55
11/02/20, 38.57, 38.78, 36.13, 37.13
10/30/20, 40.81, 41.09, 36.50, 38.02
10/29/20, 38.80, 41.16, 35.63, 37.59
10/28/20, 34.69, 40.77, 34.68, 40.28
10/27/20, 32.04, 33.77, 31.85, 33.35
10/26/20, 29.38, 33.68, 29.22, 32.46
10/23/20, 28.47, 28.67, 27.26, 27.55
10/22/20, 30.10, 30.12, 27.68, 28.11
10/21/20, 29.12, 30.55, 28.37, 28.65
10/20/20, 28.81, 29.60, 28.29, 29.35
10/19/20, 27.36, 29.69, 27.04, 29.18
10/16/20, 27.16, 27.46, 26.19, 27.41
10/15/20, 27.10, 29.06, 26.82, 26.97
10/14/20, 25.72, 27.23, 25.53, 26.40
10/13/20, 25.67, 26.93, 25.16, 26.07
10/12/20, 25.65, 25.65, 24.14, 25.07
10/09/20, 26.20, 26.22, 24.03, 25.00
10/08/20, 27.65, 27.99, 24.88, 26.36
10/07/20, 29.26, 29.76, 27.94, 28.06
10/06/20, 28.05, 30.00, 26.01, 29.48
10/05/20, 29.52, 29.69, 27.27, 27.96
10/02/20, 28.87, 29.90, 26.93, 27.63
10/01/20, 25.78, 27.11, 25.33, 26.70
09/30/20, 26.69, 27.12, 25.06, 26.37
09/29/20, 26.81, 27.43, 25.98, 26.27
09/28/20, 27.15, 27.19, 24.90, 26.19
09/25/20, 28.17, 30.43, 26.02, 26.38
09/24/20, 29.54, 30.49, 27.94, 28.51
09/23/20, 27.02, 29.73, 25.19, 28.58
09/22/20, 28.61, 28.78, 26.48, 26.86
09/21/20, 28.04, 31.18, 27.39, 27.78
09/18/20, 26.65, 28.10, 25.28, 25.83
09/17/20, 28.22, 28.92, 26.26, 26.46
09/16/20, 25.31, 26.59, 24.84, 26.04
09/15/20, 25.92, 26.00, 24.92, 25.59
09/14/20, 25.86, 26.79, 25.38, 25.85
09/11/20, 28.63, 29.73, 26.51, 26.87
09/10/20, 28.67, 30.56, 27.59, 29.71
09/09/20, 31.68, 31.78, 28.12, 28.81
09/08/20, 30.61, 35.93, 30.52, 31.46
09/04/20, 34.62, 38.28, 29.50, 30.75
09/03/20, 26.28, 35.94, 25.66, 33.60
09/02/20, 26.01, 27.07, 25.53, 26.57
09/01/20, 25.86, 26.59, 25.02, 26.12
08/31/20, 23.91, 26.50, 21.77, 26.41
08/28/20, 24.59, 26.30, 22.64, 22.96
08/27/20, 23.42, 27.09, 21.44, 24.47
08/26/20, 22.14, 23.27, 20.92, 23.27
08/25/20, 22.16, 23.43, 21.53, 22.03
08/24/20, 22.87, 23.18, 21.25, 22.37
08/21/20, 22.58, 24.47, 22.06, 22.54
08/20/20, 24.10, 24.60, 22.37, 22.72
08/19/20, 21.60, 22.98, 20.99, 22.54
08/18/20, 21.69, 22.55, 21.18, 21.51
08/17/20, 22.52, 22.82, 21.34, 21.35
08/14/20, 22.27, 23.55, 21.79, 22.05
08/13/20, 22.20, 22.92, 21.45, 22.13
08/12/20, 22.82, 22.88, 21.54, 22.28
08/11/20, 21.85, 24.93, 20.28, 24.03
08/10/20, 22.88, 23.52, 21.46, 22.13
08/07/20, 23.45, 24.02, 22.02, 22.21
08/06/20, 23.03, 24.11, 20.97, 22.65
08/05/20, 23.44, 23.61, 22.86, 22.99
08/04/20, 24.01, 24.76, 22.92, 23.76
08/03/20, 25.75, 26.01, 22.17, 24.28
07/31/20, 24.79, 26.41, 23.55, 24.46
07/30/20, 25.04, 28.29, 24.64, 24.76
07/29/20, 25.16, 25.42, 23.73, 24.10
07/28/20, 24.86, 25.85, 24.05, 25.44
07/27/20, 26.60, 26.94, 24.55, 24.74
07/24/20, 27.96, 28.58, 25.53, 25.84
07/23/20, 23.97, 26.95, 23.60, 26.08
07/22/20, 24.56, 26.26, 24.13, 24.32
07/21/20, 24.08, 25.65, 23.61, 24.84
07/20/20, 26.94, 27.08, 24.35, 24.46
07/17/20, 27.15, 27.54, 25.41, 25.68
07/16/20, 28.41, 29.29, 26.98, 28.00
07/15/20, 29.15, 30.09, 27.17, 27.76
07/14/20, 31.14, 33.67, 29.21, 29.52
07/13/20, 27.85, 32.45, 26.87, 32.19
07/10/20, 30.86, 30.91, 27.13, 27.29
07/09/20, 28.18, 31.48, 26.11, 29.26
07/08/20, 28.95, 30.20, 27.24, 28.08
07/07/20, 28.77, 29.63, 27.25, 29.43
07/06/20, 27.76, 28.33, 24.92, 27.94
07/03/20, 28.33, 28.44, 25.90, 27.68
07/02/20, 28.33, 28.44, 25.90, 27.68
07/01/20, 30.96, 31.76, 28.20, 28.62
06/30/20, 32.54, 32.94, 29.56, 30.43
06/29/20, 35.05, 36.31, 31.78, 31.78
06/26/20, 33.01, 36.25, 31.04, 34.73
06/25/20, 36.59, 36.93, 31.59, 32.22
06/24/20, 31.05, 37.12, 30.95, 33.84
06/23/20, 31.71, 31.71, 29.26, 31.37
06/22/20, 35.22, 35.39, 31.64, 31.77
06/19/20, 32.07, 35.12, 30.40, 35.12
06/18/20, 33.83, 36.25, 32.24, 32.94
06/17/20, 33.28, 35.17, 32.25, 33.47
06/16/20, 34.28, 37.45, 31.73, 33.67
06/15/20, 44.09, 44.44, 34.28, 34.40
06/12/20, 37.68, 44.16, 34.97, 36.09
06/11/20, 30.45, 42.58, 29.49, 40.79
06/10/20, 26.73, 29.01, 26.06, 27.57
06/09/20, 25.93, 27.70, 25.71, 27.57
06/08/20, 25.56, 25.98, 24.65, 25.81
06/05/20, 24.79, 25.09, 23.54, 24.52
06/04/20, 26.23, 26.43, 24.38, 25.81
06/03/20, 26.75, 26.98, 25.04, 25.66
06/02/20, 28.40, 28.52, 26.66, 26.84
06/01/20, 28.94, 30.60, 28.11, 28.23
05/29/20, 29.30, 30.16, 27.29, 27.51
05/28/20, 27.82, 29.89, 27.43, 28.59
05/27/20, 27.62, 30.53, 25.92, 27.62
05/26/20, 27.72, 28.58, 27.18, 28.01
05/25/20, 31.36, 31.55, 28.03, 28.16
05/22/20, 31.36, 31.55, 28.03, 28.16
05/21/20, 28.97, 30.20, 27.67, 29.53
05/20/20, 29.52, 29.83, 27.83, 27.99
05/19/20, 28.73, 30.74, 28.37, 30.53
05/18/20, 30.71, 31.08, 28.35, 29.30
05/15/20, 32.50, 35.13, 31.04, 31.89
05/14/20, 35.16, 39.28, 32.33, 32.61
05/13/20, 32.74, 37.42, 30.77, 35.28
05/12/20, 28.47, 33.04, 26.00, 33.04
05/11/20, 28.46, 31.46, 26.97, 27.57
05/08/20, 30.14, 30.39, 27.89, 27.98
05/07/20, 32.12, 32.28, 30.37, 31.44
05/06/20, 32.69, 35.69, 31.68, 34.12
05/05/20, 34.82, 36.22, 31.95, 33.61
05/04/20, 39.13, 40.32, 35.53, 35.97
05/01/20, 38.17, 39.57, 36.59, 37.19
04/30/20, 30.99, 35.94, 30.93, 34.15
04/29/20, 32.48, 33.19, 30.71, 31.23
04/28/20, 33.21, 35.39, 30.54, 33.57
04/27/20, 36.29, 36.44, 32.51, 33.29
04/24/20, 41.91, 42.08, 35.60, 35.93
04/23/20, 41.30, 42.47, 39.06, 41.38
04/22/20, 44.91, 45.07, 41.41, 41.98
04/21/20, 44.28, 47.77, 43.77, 45.41
04/20/20, 40.68, 43.83, 39.88, 43.83
04/17/20, 39.50, 40.26, 37.63, 38.15
04/16/20, 41.92, 43.02, 39.87, 40.11
04/15/20, 39.40, 43.23, 39.34, 40.84
04/14/20, 40.24, 40.57, 37.31, 37.76
04/13/20, 44.60, 45.04, 41.17, 41.17
04/09/20, 43.00, 45.73, 41.39, 41.67
04/08/20, 45.90, 47.28, 42.53, 43.35
04/07/20, 44.83, 47.51, 43.51, 46.70
04/06/20, 44.17, 45.73, 43.45, 45.24
04/03/20, 51.11, 52.29, 46.74, 46.80
04/02/20, 54.46, 57.24, 50.45, 50.91
04/01/20, 57.38, 60.59, 52.76, 57.06
03/31/20, 56.69, 58.75, 50.88, 53.54
03/30/20, 66.30, 67.69, 56.60, 57.08
03/27/20, 64.95, 69.10, 61.80, 65.54
03/26/20, 65.67, 67.06, 57.66, 61.00
03/25/20, 61.44, 68.86, 58.03, 63.95
03/24/20, 58.76, 61.88, 36.24, 61.67
03/23/20, 74.08, 76.74, 60.46, 61.59
03/20/20, 67.86, 69.51, 57.42, 66.04
03/19/20, 80.62, 84.26, 68.57, 72.00
03/18/20, 69.37, 85.47, 69.37, 76.45
03/17/20, 82.69, 84.83, 70.37, 75.91
03/16/20, 57.83, 83.56, 57.83, 82.69
03/13/20, 71.31, 77.57, 55.17, 57.83
03/12/20, 61.46, 76.83, 59.91, 75.47
03/11/20, 52.24, 55.82, 49.98, 53.90
03/10/20, 49.68, 55.66, 43.56, 47.30
03/09/20, 41.94, 62.12, 41.94, 54.46
03/06/20, 41.46, 54.39, 40.84, 41.94
03/05/20, 33.61, 42.84, 33.54, 39.62
03/04/20, 34.44, 35.58, 30.30, 31.99
03/03/20, 33.64, 41.06, 24.93, 36.82
03/02/20, 34.86, 43.77, 31.50, 33.42
02/28/20, 42.02, 49.48, 39.37, 40.11
02/27/20, 28.95, 39.31, 27.79, 39.16
02/26/20, 26.63, 29.57, 24.76, 27.56
02/25/20, 22.19, 30.25, 22.19, 27.85
02/24/20, 22.25, 26.35, 22.00, 25.03
02/21/20, 17.33, 18.21, 16.19, 17.08
02/20/20, 14.54, 17.21, 14.49, 15.56
02/19/20, 14.66, 14.74, 14.21, 14.38
02/18/20, 14.98, 15.49, 14.53, 14.83
02/14/20, 14.12, 14.54, 13.38, 13.68
02/13/20, 14.43, 15.44, 14.00, 14.15
02/12/20, 14.86, 14.88, 13.73, 13.74
02/11/20, 14.91, 15.27, 14.38, 15.18
02/10/20, 15.88, 16.43, 15.01, 15.04
02/07/20, 15.07, 16.16, 14.81, 15.47
02/06/20, 15.13, 15.66, 14.70, 14.96
02/05/20, 16.29, 16.32, 15.02, 15.15
02/04/20, 16.45, 16.46, 15.63, 16.05
02/03/20, 18.64, 18.88, 17.10, 17.97
01/31/20, 16.25, 19.99, 16.18, 18.84
01/30/20, 17.82, 18.39, 15.30, 15.49
01/29/20, 15.68, 16.65, 14.94, 16.39
01/28/20, 16.94, 18.03, 15.69, 16.28
01/27/20, 17.42, 19.02, 16.82, 18.23
01/24/20, 12.75, 15.98, 12.62, 14.56
01/23/20, 13.26, 14.15, 12.94, 12.98
01/22/20, 12.45, 13.01, 12.31, 12.91
01/21/20, 13.23, 13.33, 12.32, 12.85
01/20/20, 12.21, 12.48, 11.75, 12.10
01/17/20, 12.21, 12.48, 11.75, 12.10
01/16/20, 12.20, 12.42, 11.78, 12.32
01/15/20, 12.79, 12.83, 11.95, 12.42
01/14/20, 12.72, 13.82, 12.05, 12.39
01/13/20, 12.84, 13.09, 12.32, 12.32
01/10/20, 12.42, 12.87, 12.09, 12.56
01/09/20, 12.95, 13.24, 12.53, 12.54
01/08/20, 15.16, 15.24, 12.83, 13.45
01/07/20, 13.84, 14.46, 13.39, 13.79
01/06/20, 15.45, 16.39, 13.54, 13.85
01/03/20, 15.01, 16.20, 13.13, 14.02
01/02/20, 13.46, 13.72, 12.42, 12.47
12/31/19, 14.84, 15.39, 13.75, 13.78
12/30/19, 13.74, 15.14, 13.44, 14.82
12/27/19, 12.61, 13.72, 11.89, 13.43
12/26/19, 12.74, 12.75, 11.72, 12.65
12/24/19, 12.65, 12.84, 12.56, 12.67
12/23/19, 12.81, 12.90, 12.41, 12.61
12/20/19, 12.55, 12.61, 12.04, 12.51
12/19/19, 12.55, 12.78, 12.43, 12.50
12/18/19, 12.24, 12.70, 11.93, 12.58
12/17/19, 12.23, 12.47, 11.90, 12.29
12/16/19, 12.47, 12.53, 11.71, 12.14
12/13/19, 13.18, 14.35, 12.54, 12.63
12/12/19, 14.94, 15.55, 13.60, 13.94
12/11/19, 15.57, 15.97, 14.98, 14.99
12/10/19, 15.80, 16.90, 14.93, 15.68
12/09/19, 14.25, 16.07, 12.25, 15.86
12/06/19, 14.37, 14.47, 13.19, 13.62
12/05/19, 14.46, 15.37, 14.17, 14.52
12/04/19, 16.38, 16.40, 14.12, 14.80
12/03/19, 14.68, 17.99, 14.61, 15.96
12/02/19, 12.69, 15.27, 12.55, 14.91
11/29/19, 12.50, 12.83, 12.12, 12.62
11/28/19, 11.55, 11.79, 11.44, 11.75
11/27/19, 11.55, 11.79, 11.44, 11.75
11/26/19, 11.88, 12.04, 11.42, 11.54
11/25/19, 12.51, 12.59, 11.73, 11.87
11/22/19, 12.82, 13.25, 12.33, 12.34
11/21/19, 13.35, 13.86, 12.49, 13.13
11/20/19, 13.42, 14.17, 12.61, 12.78
11/19/19, 12.33, 13.01, 12.16, 12.86
11/18/19, 12.39, 13.10, 12.32, 12.46
11/15/19, 12.95, 12.97, 11.92, 12.05
11/14/19, 13.16, 13.81, 12.93, 13.05
11/13/19, 12.91, 13.90, 12.88, 13.00
11/12/19, 12.64, 13.10, 12.36, 12.68
11/11/19, 13.15, 13.49, 12.66, 12.69
11/08/19, 12.98, 13.05, 12.00, 12.07
11/07/19, 12.59, 12.89, 12.26, 12.73
11/06/19, 13.18, 13.39, 12.60, 12.62
11/05/19, 12.85, 13.28, 12.25, 13.10
11/04/19, 12.68, 13.13, 12.44, 12.83
11/01/19, 12.99, 13.12, 12.25, 12.30
10/31/19, 12.21, 13.95, 12.19, 13.22
10/30/19, 13.23, 13.77, 12.27, 12.33
10/29/19, 13.16, 13.52, 13.07, 13.20
10/28/19, 13.01, 13.14, 12.66, 13.11
10/25/19, 13.53, 13.79, 12.62, 12.65
10/24/19, 13.98, 14.34, 13.40, 13.71
10/23/19, 14.83, 15.12, 14.01, 14.01
10/22/19, 13.99, 14.61, 13.70, 14.46
10/21/19, 14.24, 14.63, 14.00, 14.00
10/18/19, 14.20, 15.16, 13.78, 14.25
10/17/19, 13.79, 14.18, 13.31, 13.79
10/16/19, 13.94, 14.26, 13.60, 13.68
10/15/19, 13.94, 14.43, 13.39, 13.54
10/14/19, 15.66, 16.50, 14.51, 14.57
10/11/19, 17.35, 17.44, 15.11, 15.58
10/10/19, 19.28, 19.80, 17.56, 17.57
10/09/19, 19.94, 20.00, 17.77, 18.64
10/08/19, 17.61, 20.38, 17.42, 20.28
10/07/19, 18.27, 18.52, 16.44, 17.86
10/04/19, 19.42, 19.97, 16.97, 17.04
10/03/19, 20.11, 21.44, 19.03, 19.12
10/02/19, 18.75, 21.46, 18.75, 20.56
10/01/19, 16.02, 18.62, 15.79, 18.56
09/30/19, 17.23, 17.35, 16.20, 16.24
09/27/19, 15.77, 18.69, 15.15, 17.22
09/26/19, 16.23, 17.09, 15.35, 16.07
09/25/19, 17.05, 18.45, 15.69, 15.96
09/24/19, 14.77, 17.62, 14.33, 17.05
09/23/19, 15.35, 16.00, 14.71, 14.91
09/20/19, 13.94, 15.84, 13.35, 15.32
09/19/19, 14.66, 14.66, 13.31, 14.05
09/18/19, 14.61, 15.80, 13.80, 13.95
09/17/19, 14.92, 15.03, 14.40, 14.44
09/16/19, 14.89, 15.29, 14.50, 14.67
09/13/19, 14.16, 14.31, 13.51, 13.74
09/12/19, 14.69, 14.94, 13.85, 14.22
09/11/19, 15.33, 15.52, 14.55, 14.61
09/10/19, 15.53, 16.52, 15.11, 15.20
09/09/19, 15.26, 16.13, 14.95, 15.27
09/06/19, 15.92, 16.06, 14.91, 15.00
09/05/19, 16.92, 17.05, 15.45, 16.27
09/04/19, 18.23, 18.83, 17.26, 17.33
09/03/19, 20.96, 21.15, 19.41, 19.66
08/30/19, 17.94, 19.18, 17.09, 18.98
08/29/19, 19.02, 19.20, 17.60, 17.88
08/28/19, 20.55, 21.64, 19.10, 19.35
08/27/19, 20.18, 21.04, 18.49, 20.31
08/26/19, 20.34, 21.33, 19.06, 19.32
08/23/19, 16.15, 21.07, 16.04, 19.87
08/22/19, 16.12, 17.68, 15.63, 16.68
08/21/19, 17.01, 17.04, 15.51, 15.80
08/20/19, 16.78, 17.70, 16.45, 17.50
08/19/19, 17.93, 18.22, 16.52, 16.88
08/16/19, 20.48, 20.50, 18.41, 18.47
08/15/19, 21.58, 24.10, 20.78, 21.18
08/14/19, 17.81, 22.71, 17.75, 22.10
08/13/19, 21.28, 21.64, 17.52, 17.52
08/12/19, 17.87, 21.26, 17.77, 21.09
08/09/19, 18.14, 19.44, 17.31, 17.97
