"","Date","SP500","Dividend","Earnings","CPI","LIR","PE10","VIX"
"1",1990-01-01,339.97,11.14,22.49,127.4,8.21,17.05,23.3472727272727
"2",1990-02-01,330.45,11.23,22.08,128,8.47,16.51,23.2626315789474
"3",1990-03-01,338.46,11.32,21.67,128.7,8.59,16.83,20.0622727272727
"4",1990-04-01,338.18,11.44,21.53,128.9,8.79,16.81,21.4035
"5",1990-05-01,350.25,11.55,21.4,129.2,8.76,17.39,18.0977272727273
"6",1990-06-01,360.39,11.66,21.26,129.9,8.48,17.82,16.822380952381
"7",1990-07-01,360.03,11.73,21.42,130.4,8.47,17.75,18.3928571428571
"8",1990-08-01,330.75,11.78,21.58,131.6,8.75,16.17,28.1752173913043
"9",1990-09-01,315.41,11.83,21.74,132.7,8.89,15.3,29.1073684210526
"10",1990-10-01,307.12,11.93,21.61,133.5,8.72,14.82,29.625652173913
"11",1990-11-01,315.29,12.01,21.47,133.8,8.39,15.19,24.8857142857143
"12",1990-12-01,328.75,12.09,21.34,133.8,8.08,15.85,23.363
"13",1991-01-01,325.49,12.11,21.18,134.6,8.09,15.61,27.4290909090909
"14",1991-02-01,362.26,12.11,21.03,134.8,7.85,17.35,21.5984210526316
"15",1991-03-01,372.28,12.11,20.94,135,8.11,17.82,17.7442105263158
"16",1991-04-01,379.68,12.13,20.36,135.2,8.04,18.16,17.3727272727273
"17",1991-05-01,377.99,12.14,19.86,135.6,8.07,18.04,16.9322727272727
"18",1991-06-01,378.29,12.15,19.41,136,8.28,18.02,17.135
"19",1991-07-01,380.23,12.19,18.84,136.2,8.27,18.1,17.2940909090909
"20",1991-08-01,389.4,12.24,18.33,136.6,7.9,18.51,15.6813636363636
"21",1991-09-01,387.2,12.28,17.82,137.2,7.65,18.36,16.9565
"22",1991-10-01,386.88,12.25,17.2,137.4,7.53,18.35,16.3639130434783
"23",1991-11-01,385.92,12.23,16.59,137.8,7.42,18.29,17.7735
"24",1991-12-01,388.51,12.2,15.97,137.9,7.09,18.44,18.347619047619
"25",1992-01-01,416.08,12.24,16.05,138.1,7.03,19.77,17.6831818181818
"26",1992-02-01,412.56,12.28,16.12,138.6,7.34,19.58,17.4773684210526
"27",1992-03-01,407.36,12.32,16.19,139.3,7.54,19.28,17.5204545454545
"28",1992-04-01,407.41,12.32,16.48,139.5,7.48,19.3,16.5628571428571
"29",1992-05-01,414.81,12.32,16.77,139.7,7.39,19.66,15.077
"30",1992-06-01,408.27,12.32,17.05,140.2,7.26,19.32,15.2031818181818
"31",1992-07-01,415.05,12.34,17.38,140.5,6.84,19.62,13.6018181818182
"32",1992-08-01,417.93,12.37,17.71,140.9,6.59,19.72,14.4219047619048
"33",1992-09-01,418.48,12.4,18.04,141.3,6.42,19.71,13.6966666666667
"34",1992-10-01,412.5,12.39,18.39,141.8,6.59,19.37,17.6368181818182
"35",1992-11-01,422.84,12.38,18.74,142,6.87,19.83,14.4245
"36",1992-12-01,435.64,12.39,19.09,141.9,6.77,20.45,12.1913636363636
"37",1993-01-01,435.23,12.41,19.34,142.6,6.6,20.32,12.409
"38",1993-02-01,441.7,12.45,19.59,143.1,6.26,20.55,13.7215789473684
"39",1993-03-01,450.16,12.48,19.84,143.6,5.98,20.86,13.6060869565217
"40",1993-04-01,443.08,12.49,19.67,144,5.97,20.46,12.8409523809524
"41",1993-05-01,445.25,12.51,19.5,144.2,6.04,20.52,13.606
"42",1993-06-01,448.06,12.52,19.33,144.4,5.96,20.61,12.5240909090909
"43",1993-07-01,447.29,12.52,19.69,144.4,5.81,20.56,11.5004761904762
"44",1993-08-01,454.13,12.52,20.05,144.8,5.68,20.81,11.9286363636364
"45",1993-09-01,459.24,12.52,20.41,145.1,5.36,20.99,12.9314285714286
"46",1993-10-01,463.9,12.54,20.9,145.7,5.33,21.11,11.8752380952381
"47",1993-11-01,462.89,12.56,21.39,145.8,5.72,21.04,14.0838095238095
"48",1993-12-01,465.95,12.58,21.89,145.8,5.77,21.16,11.3563636363636
"49",1994-01-01,472.99,12.62,22.16,146.2,5.75,21.41,11.2904761904762
